brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
이디야,이디야커피진북점,이디야커피 전주진북점,전북특별자치도 전주시 덕진구 태진로 110,전북특별자치도 전주시 덕진구 진북동 410-7 1층 이디야커피 전주진북점,"카페,디저트>카페",35.8308163,127.136114,https://blog.naver.com/ediya-coffee,확인
스타벅스,스타벅스커피전주한옥마을점,스타벅스 전주한옥마을점,전북특별자치도 전주시 완산구 팔달로 123,전북특별자치도 전주시 완산구 전동 187-9,"카페,디저트>카페",35.8134418,127.1485227,http://www.starbucks.co.kr/,확인
메가MGC커피,,메가MGC커피 전주한옥마을경기전점,전북특별자치도 전주시 완산구 팔달로 128 만나회관,전북특별자치도 전주시 완산구 전동 69-1 1층,"카페,디저트>카페",35.814156,127.1486924,,추가(CSV에 없음)
이디야,,이디야 전주한옥마을점,전북특별자치도 전주시 완산구 팔달로 130-1,전북특별자치도 전주시 완산구 전동 65-1,"카페,디저트>카페",35.8143697,127.1486438,https://blog.naver.com/ediya-coffee,추가(CSV에 없음)
메가MGC커피,메가엠지씨커피 전주평화코오롱점,메가MGC커피 전주평화코오롱점,전북특별자치도 전주시 완산구 평화14길 28-17,전북특별자치도 전주시 완산구 평화동1가 734-1 1층 메가커피 전주평화코오롱점,"카페,디저트>카페",35.7938356,127.1335222,,확인
빽다방,,빽다방 전주한옥마을점,전북특별자치도 전주시 완산구 풍남문2길 9,전북특별자치도 전주시 완산구 전동 184-3 1층,"카페,디저트>테이크아웃커피",35.8135034,127.1482528,,추가(CSV에 없음)
컴포즈커피,컴포즈커피아중점,컴포즈커피 전주아중점,전북특별자치도 전주시 덕진구 한배미로 8,전북특별자치도 전주시 덕진구 인후동1가 931-3,"카페,디저트>카페",35.8254457,127.1663227,,확인
빽다방,빽다방전주반월점,빽다방 전주반월점,전북특별자치도 전주시 덕진구 혁신로 697 드림프라자,전북특별자치도 전주시 덕진구 반월동 236-2 드림프라자 1층,"카페,디저트>테이크아웃커피",35.8739895,127.0743199,,확인
투썸플레이스,,투썸플레이스 전주반월DT점,전북특별자치도 전주시 덕진구 혁신로 724,"전북특별자치도 전주시 덕진구 반월동 224-2 1, 2층","카페,디저트>카페",35.8761549,127.0762586,,추가(CSV에 없음)
컴포즈커피,컴포즈커피,컴포즈커피 전주신라스테이점,전북특별자치도 전주시 완산구 현무1길 10-15,전북특별자치도 전주시 완산구 경원동3가 15-9 1층,"카페,디저트>카페",35.8199463,127.1483253,,확인
